episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4200000,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,0.8544497489929199,0.13172876863836097,1.0,-1.883255231361639,-0.09999999999999964,1.7743720776734477,0.09688699134268332,0.6746220157234112,0.4985226899411689,0.05603420822901212,0,2.29750794172287,7,56.707788160341025
2,4200001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9996658563613892,0.16569308875848043,-1.0,-1.8492909112415197,-0.13333333333333341,1.8105172960139793,0.13211393790218154,0.5308623299143322,0.8402544021873257,0.09200960833681973,0,1.8424265682697296,6,59.080472077781735
3,4200002,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,0.9994410872459412,0.03496580298230961,1.0,-1.9800181970176904,-0.13333333333333341,1.6801655938012499,0.13211393790218154,0.5736983795506928,0.9216102964326923,0.09842765902614795,0,2.165782392024994,6,59.07267749756227
4,4200003,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8491180539131165,-0.021896805160631805,1.0,-2.036880805160632,-0.1333333333333333,1.6233098557382062,0.12995033317171348,0.6037650658910154,0.5702542428840868,0.062431246753530935,0,2.0245889127254486,6,58.18770868133866
5,4200004,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9711506366729736,-0.13853686861612222,-1.0,-2.1535208686161225,-0.16666666666666607,1.5109654625278734,0.16923004628714536,0.4284674146820109,0.47776783216043395,0.04735927194119936,0,1.7403640449047089,5,57.8388862895972
6,4200005,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8422021269798279,-0.026616540474995898,-1.0,-2.041600540474996,-0.1333333333333333,1.6186053118854022,0.12995033317171348,0.6054758009563462,0.5646120521829645,0.061800734772172766,0,2.014534592628479,6,58.14706500023666
7,4200006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,0.9987170696258545,0.13255445084906853,1.0,-1.8824295491509315,-0.16666666666666652,1.7802021087381676,0.1648524031072682,0.4157289917409996,0.9931282766878891,0.10810792083079511,0,1.5254915654659271,5,57.95203826453006
8,4200007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.7847270965576172,-0.07001547128424701,-1.0,-2.084999471284247,-0.1333333333333333,1.5753503295607547,0.12995033317171348,0.6213586216043618,0.519273789989096,0.05665639381885958,0,1.822910487651825,6,57.81145574480453
9,4200008,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.9514437913894653,-0.05746094482036457,1.0,-2.0724449448203646,-0.16666666666666607,1.591557166632369,0.16923004628714536,0.4215629625026457,0.43307287520007665,0.04341667181165503,0,1.867888182401657,5,57.75851727686068
10,4200009,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.7429263591766357,-0.2305789253973543,1.0,-2.2455629253973544,-0.1333333333333333,1.415396062310515,0.12995033317171348,0.6818530981261518,0.5485378893562743,0.05870767269560013,0,1.779810518026352,6,57.56544680176389
