episode,seed,true_type,true_class,detected_type,detected_class,outcome,success,fired_jet,fired_intensity,lateral_offset,tube_axis_direction,jet_command_x,jet_command_y_offset,jet_distance,jet_radial_offset,jet_attenuation,jet_peak_force,jet_accumulated_impulse,misfire_count,cumulative_valve_opening,decision_steps,episode_return
1,4200000,3,polypropylene centrifuge tube 2,3,polypropylene centrifuge tube 2,correct_bin,1,4,1.0,0.13172876863836097,1.0,-1.883255231361639,-0.1333333333333333,1.776484244238374,0.1299503331717042,0.5501381611020634,0.6167154690363751,0.06756119254103748,0,1.0,6,59.099294027802884
2,4200001,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.16569308875848043,-1.0,-1.8492909112415197,-0.13333333333333341,1.8105172960139793,0.13211393790218154,0.5308623299143322,0.8407421823312861,0.09205462263456354,0,1.0,6,59.09929402780288
3,4200002,1,universal polypropylene tube,1,universal polypropylene tube,correct_bin,1,2,1.0,0.03496580298230961,1.0,-1.9800181970176904,-0.13333333333333341,1.6801655938012499,0.13211393790218154,0.5736983795506928,0.9225045213142491,0.09850221789392201,0,1.0,6,59.09929402780288
4,4200003,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,-0.021896805160631805,1.0,-2.036880805160632,-0.1333333333333333,1.6233098557382062,0.12995033317171348,0.6037650658910154,0.7557045857002456,0.08040849728734063,0,1.0,6,59.09929402780289
5,4200004,4,polypropylene lysis tube,4,polypropylene lysis tube,correct_bin,1,5,0.8999999761581421,-0.13853686861612222,-1.0,-2.1535208686161225,-0.16666666666666607,1.5109654625278734,0.16923004628714536,0.4284674146820109,0.42384938889863666,0.041527426239426665,0,0.8999999761581421,5,57.57473333968278
6,4200005,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,-0.026616540474995898,-1.0,-2.041600540474996,-0.1333333333333333,1.6186053118854022,0.12995033317171348,0.6054758009563462,0.7585878385238128,0.08063199790264143,0,1.0,6,59.09929402780289
7,4200006,0,universal polystyrene tube,0,universal polystyrene tube,correct_bin,1,1,1.0,0.13255445084906853,1.0,-1.8824295491509315,-0.1333333333333333,1.7774693599985336,0.1321139379021724,0.5414525687866185,1.0995132897926403,0.11964747141352197,0,1.0,6,59.099294027802884
8,4200007,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,1.0,-0.07001547128424701,-1.0,-2.084999471284247,-0.1333333333333333,1.5753503295607547,0.12995033317171348,0.6213586216043618,0.7863140475623167,0.08268434357343878,0,1.0,6,59.09929402780289
9,4200008,4,polypropylene lysis tube,4,polypropylene lysis tube,missed_bin,0,5,0.8999999761581421,-0.05746094482036457,1.0,-2.0724449448203646,-0.16666666666666607,1.591557166632369,0.16923004628714536,0.4215629625026457,0.39584473212037685,0.03928786260455607,0,0.8999999761581421,5,-7.425266660317222
10,4200009,2,polypropylene centrifuge tube 1,2,polypropylene centrifuge tube 1,correct_bin,1,3,0.8999999761581421,-0.2305789253973543,1.0,-2.2455629253973544,-0.16666666666666674,1.4188263584478311,0.163123607468881,0.468813852756447,0.6818969220195549,0.06891576551143472,0,0.8999999761581421,5,57.5747333396827
